dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3957),Normal,94
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1608),Normal,106
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (79),Normal,133
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1070),Normal,95
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2040),Normal,134
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4773),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1719),Normal,104
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4003),Normal,105
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4175),Normal,123
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1499),Normal,106
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4956),Normal,152
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2333),Normal,97
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4572),Normal,134
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2098),Normal,96
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3251),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (205),Normal,101
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3730),Normal,110
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1078),Normal,141
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2106),Normal,88
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3203),Normal,126
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1005),Normal,116
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4330),Normal,96
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3241),Normal,139
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (909),Normal,144
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (547),Normal,144
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2097),Normal,101
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3855),Normal,144
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2500),Normal,126
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1128),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4384),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4067),Normal,118
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (903),Normal,144
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3303),Normal,138
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3537),Normal,103
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (707),Normal,96
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1717),Normal,108
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2940),Normal,84
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2304),Normal,113
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5058),Normal,94
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1670),Normal,110
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3061),Normal,139
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4885),Normal,117
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2732),Normal,152
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1089),Normal,142
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4833),Normal,115
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (287),Normal,128
