dice,iou,hd95,precision,recall,f1,class,stem
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4885)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2732)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1089)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4833)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (287)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4041)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1633)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3079)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4406)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2738)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4827)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1453)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2892)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4354)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1373)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (5024)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4847)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4066)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3902)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4866)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4434)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (18)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4497)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (220)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3965)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2151)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3835)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4467)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3585)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3735)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2905)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1620)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1266)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1613)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2564)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2968)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2481)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3742)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1205)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1379)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2394)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3969)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (788)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (511)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4231)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4583)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3068)
